join_email,email_principal,nome_completo,cpf,telefone,programa,estado_raw,cidade_raw,genero_raw,data_nascimento,data_inscricao,fonte_candidato
joão vitor.novaes@outlook.com.br,joão vitor.novaes@outlook.com.br,João Vitor Novaes,378.095.621-77,+5555129089940,CAMPINHO DIGITAL,AL,Gonçalves,Homem Cis,1981-06-04,2026-05-16 03:59:38,Facebook
antônio.andrade@hotmail.com,antônio.andrade@hotmail.com,Antônio Andrade,489.731.026-13,+5555759022526,CAMPINHO DIGITAL,AP,da Cunha do Oeste,Homem Cis,1997-12-14,2026-06-11 03:59:38,LinkedIn
otávio.moreira@yahoo.com.br,otávio.moreira@yahoo.com.br,Otávio Moreira,615.472.983-91,+5555499213323,CAMPINHO DIGITAL,ES,Machado das Pedras,Não Informado,1994-11-16,2026-07-07 03:59:38,LinkedIn
stella.pastor@hotmail.com,stella.pastor@hotmail.com,Stella Pastor,461.392.750-16,+5555949779849,CAMPINHO DIGITAL,SE,Fernandes,Não Informado,1996-05-28,2026-05-28 03:59:38,Indicación
noah.cavalcanti@hotmail.com,noah.cavalcanti@hotmail.com,Noah Cavalcanti,026.318.457-90,+5555659708473,CAMPINHO DIGITAL,TO,da Cunha,Mulher Cis,2009-04-08,2026-07-01 03:59:38,Facebook
fernanda.gonçalves@live.com,fernanda.gonçalves@live.com,Fernanda Gonçalves,397.085.461-00,+5555229511388,CAMPINHO DIGITAL,PB,Farias,Homem Cis,1997-06-12,2026-07-01 03:59:38,Instagram
caio.abreu@live.com,caio.abreu@live.com,Caio Abreu,859.403.162-98,+5555979957508,CAMPINHO DIGITAL,RN,Aragão,Mulher Cis,2004-01-28,2026-06-24 03:59:38,Indicación
anna liz.da luz@hotmail.com,anna liz.da luz@hotmail.com,Anna Liz da Luz,390.216.487-50,+5555339832434,CAMPINHO DIGITAL,RS,Correia das Pedras,Homem Cis,1995-10-27,2026-04-26 03:59:38,Indicación
gustavo.martins@hotmail.com,gustavo.martins@hotmail.com,Gustavo Martins,495.708.231-60,+5555539736908,CAMPINHO DIGITAL,PR,Almeida,Não Informado,1988-03-18,2026-05-16 03:59:38,Indicación
luiz gustavo.montenegro@icloud.com,luiz gustavo.montenegro@icloud.com,Luiz Gustavo Montenegro,547.960.231-43,+5555149031178,CAMPINHO DIGITAL,DF,Cassiano,Mulher Cis,1995-04-04,2026-07-05 03:59:38,Google Search
arthur miguel.barbosa@outlook.com.br,arthur miguel.barbosa@outlook.com.br,Arthur Miguel Barbosa,869.250.471-85,+5555289842255,CAMPINHO DIGITAL,MG,da Rocha,Mulher Cis,2004-10-03,2026-04-21 03:59:38,
andré.moreira@icloud.com,andré.moreira@icloud.com,André Moreira,615.947.208-94,+5555669039906,CAMPINHO DIGITAL,GO,Teixeira de Andrade,Mulher Cis,1996-04-17,2026-05-15 03:59:38,Indicación
isaac.rezende@bol.com.br,isaac.rezende@bol.com.br,Isaac Rezende,076.825.391-86,+5555629888779,CAMPINHO DIGITAL,AM,Marques,Homem Cis,1998-12-10,2026-06-11 03:59:38,Indicación
joão gabriel.garcia@gmail.com,joão gabriel.garcia@gmail.com,João Gabriel Garcia,186.429.507-49,+5555879486064,CAMPINHO DIGITAL,DF,Camargo da Praia,Não Informado,1983-09-26,2026-07-14 03:59:38,
alana.garcia@live.com,alana.garcia@live.com,Alana Garcia,482.379.610-13,+5555879135357,CAMPINHO DIGITAL,RS,Mendonça dos Dourados,Não Informado,1994-03-29,2026-06-01 03:59:38,Google Search
samuel.sá@hotmail.com,samuel.sá@hotmail.com,Samuel Sá,481.560.732-07,+5555339049462,CAMPINHO DIGITAL,PE,da Costa,Homem Cis,2003-03-23,2026-06-26 03:59:38,Instagram
luna.borges@terra.com.br,luna.borges@terra.com.br,Luna Borges,648.392.071-78,+5555959785364,CAMPINHO DIGITAL,SE,Aparecida,Não Informado,1978-03-14,2026-04-22 03:59:38,Google Search
ana cecília.ribeiro@gmail.com,ana cecília.ribeiro@gmail.com,Ana Cecília Ribeiro,617.534.980-66,+5555329800621,CAMPINHO DIGITAL,PI,Casa Grande,Mulher Cis,1984-02-04,2026-05-08 03:59:38,
bernardo.novaes@bol.com.br,bernardo.novaes@bol.com.br,Bernardo Novaes,487.950.216-20,+5555539489942,CAMPINHO DIGITAL,MS,Moreira,Não Informado,1997-07-19,2026-04-29 03:59:38,
lavínia.gomes@uol.com.br,lavínia.gomes@uol.com.br,Lavínia Gomes,952.314.078-79,+5555859331928,CAMPINHO DIGITAL,RO,Aparecida de Moreira,Não Informado,1996-08-25,2026-05-24 03:59:38,Google Search
marina.macedo@icloud.com,marina.macedo@icloud.com,Marina Macedo,248.037.561-71,+5555739946300,CAMPINHO DIGITAL,SP,Machado,Homem Cis,1983-04-17,2026-06-26 03:59:38,
nathan.sampaio@yahoo.com.br,nathan.sampaio@yahoo.com.br,Nathan Sampaio,408.635.721-62,+5555879217558,CAMPINHO DIGITAL,GO,Macedo de Farias,Homem Cis,1981-10-26,2026-05-10 03:59:38,LinkedIn
francisco.das neves@bol.com.br,francisco.das neves@bol.com.br,Francisco das Neves,967.412.835-28,+5555119568549,CAMPINHO DIGITAL,AL,Monteiro,Homem Cis,1994-02-05,2026-05-31 03:59:38,
igor.pacheco@hotmail.com,igor.pacheco@hotmail.com,Igor Pacheco,215.486.097-49,+5555799648358,CAMPINHO DIGITAL,PE,Pires,Mulher Cis,2007-07-16,2026-06-20 03:59:38,LinkedIn
valentina.sousa@yahoo.com.br,valentina.sousa@yahoo.com.br,Valentina Sousa,706.152.348-44,+5555959594374,CAMPINHO DIGITAL,BA,Pastor,Mulher Cis,2001-10-21,2026-07-11 03:59:38,YouTube
maria helena.freitas@bol.com.br,maria helena.freitas@bol.com.br,Maria Helena Freitas,235.061.974-52,+5555679107936,CAMPINHO DIGITAL,MT,Campos,Não Informado,1987-12-03,2026-05-27 03:59:38,Instagram
pedro miguel.freitas@gmail.com,pedro miguel.freitas@gmail.com,Pedro Miguel Freitas,749.832.516-00,+5555459194956,CAMPINHO DIGITAL,PA,da Rocha Alegre,Mulher Cis,1988-01-16,2026-07-17 03:59:38,Instagram
daniel.duarte@terra.com.br,daniel.duarte@terra.com.br,Daniel Duarte,182.975.046-11,+5555139340014,CAMPINHO DIGITAL,RR,Almeida dos Dourados,Homem Cis,1990-09-11,2026-07-10 03:59:38,YouTube
benicio.fonseca@yahoo.com.br,benicio.fonseca@yahoo.com.br,Benicio Fonseca,728.354.601-44,+5555839115946,CAMPINHO DIGITAL,GO,da Cruz da Mata,Mulher Cis,2004-03-26,2026-07-14 03:59:38,YouTube
bella.brito@terra.com.br,bella.brito@terra.com.br,Bella Brito,142.035.897-97,+5555779858687,CAMPINHO DIGITAL,SE,Brito,Não Informado,1988-02-04,2026-05-02 03:59:38,Facebook
théo.freitas@live.com,théo.freitas@live.com,Théo Freitas,614.753.209-06,+5555539353633,CAMPINHO DIGITAL,CE,Correia,Não Informado,2009-06-01,2026-05-12 03:59:38,Google Search
renan.rios@bol.com.br,renan.rios@bol.com.br,Renan Rios,802.671.453-90,+5555539381649,CAMPINHO DIGITAL,ES,Moreira,Mulher Cis,1998-05-06,2026-05-06 03:59:38,LinkedIn
josué.duarte@uol.com.br,josué.duarte@uol.com.br,Josué Duarte,326.985.740-38,+5555479672015,CAMPINHO DIGITAL,RR,Araújo,Mulher Cis,2008-05-18,2026-05-10 03:59:38,YouTube
heloísa.sampaio@yahoo.com.br,heloísa.sampaio@yahoo.com.br,Heloísa Sampaio,960.823.574-00,+5555619678024,CAMPINHO DIGITAL,PR,Pires de das Neves,Mulher Cis,2007-12-12,2026-06-23 03:59:38,YouTube
joão pedro.rezende@icloud.com,joão pedro.rezende@icloud.com,João Pedro Rezende,417.302.895-41,+5555219795343,CAMPINHO DIGITAL,PR,Alves,Homem Cis,2009-06-24,2026-05-10 03:59:38,Indicación
lucas.garcia@bol.com.br,lucas.garcia@bol.com.br,Lucas Garcia,975.483.602-74,+5555439819326,CAMPINHO DIGITAL,SP,Costela de Azevedo,Não Informado,1989-01-19,2026-05-26 03:59:38,Google Search
maria julia.da cunha@yahoo.com.br,maria julia.da cunha@yahoo.com.br,Maria Julia da Cunha,749.285.603-29,+5555419648648,CAMPINHO DIGITAL,SP,Moura,Homem Cis,1988-10-31,2026-07-12 03:59:38,Indicación
